Name,Country,Founded,Industry,Number_of_employees
Reeves-Martinez,Germany,1974,Writing / Editing,6639
"Peck, Rogers and Conrad",Greece,1987,Mechanical or Industrial Engineering,6458
Novak PLC,Bouvet Island (Bouvetoya),1973,Non - Profit / Volunteering,5821
"Carter, Hodge and Franco",Christmas Island,2019,Maritime,2191
Waller-Mcfarland,Slovakia (Slovak Republic),1982,Plastics,2055
"Hayes, Saunders and Richards",Portugal,2021,Medical Practice,2526
Herring-Orr,Germany,2003,Financial Services,8986
Bridges Ltd,Tuvalu,1997,International Trade / Development,1583
Walsh-Shelton,Tunisia,2001,Pharmaceuticals,9737
George-Hamilton,Gambia,1980,Medical Equipment,3399
Hartman and Sons,Senegal,1987,Industrial Automation,8987
Chen PLC,Germany,2006,Environmental Services,3547
Wilkins and Sons,Switzerland,1994,Information Services,8335
Mckay Inc,Tajikistan,1974,Non - Profit / Volunteering,4823
Jennings-Drake,Cambodia,1977,Leisure / Travel,1422
Wolfe-Figueroa,United Arab Emirates,1999,Law Practice / Law Firms,6709
Grant LLC,Ireland,2012,Warehousing,2368
Ochoa-Vaughn,Kyrgyz Republic,2007,Ranching,4342
Rodgers LLC,Congo,1980,Executive Office,1587
Ford-Stanton,Falkland Islands (Malvinas),2005,Wholesale,1903
Clements Group,Guinea,2017,Outsourcing / Offshoring,1615
Mann-Mason,Faroe Islands,2001,Business Supplies / Equipment,2726
Wilkins and Sons,Tokelau,1996,Accounting,4615
Becker-Mann,Congo,1973,Farming,795
Cortez-Gibson,Singapore,2006,Furniture,7581
"Randolph, Trujillo and Frost",Finland,1987,Online Publishing,4238
Allison-Spears,Egypt,2008,Broadcast Media,869
Parks Group,Saint Vincent and the Grenadines,2011,Insurance,7625
Webster-Mclean,Saint Vincent and the Grenadines,1991,Music,5392
Rhodes Ltd,Tonga,2006,Health / Fitness,3565
"Floyd, Novak and Cohen",Nicaragua,2001,Philanthropy,8594
Bennett PLC,Niue,2001,Aviation / Aerospace,8909
Macdonald Group,Antigua and Barbuda,2016,Individual / Family Services,778
"Mcconnell, Hardin and Heath",Netherlands,1994,Printing,5359
Collins Group,Andorra,2002,Alternative Dispute Resolution,6644
Mccullough and Sons,Cook Islands,1985,Publishing Industry,3634
Farmer-Paul,Mongolia,2002,Capital Markets / Hedge Fund / Private Equity,6681
Murillo-Woods,Bolivia,1981,Food / Beverages,7222
Trevino Group,Benin,2012,Renewables / Environment,3985
"Fitzgerald, Dunn and Edwards",Malta,2019,Military Industry,4200
"Novak, Petty and Mcintyre",British Indian Ocean Territory (Chagos Archipelago),1979,Wireless,7809
Oliver-Walter,Panama,1995,Information Services,3910
Silva-Ray,Haiti,2002,Capital Markets / Hedge Fund / Private Equity,7913
"Riddle, Leach and Gould",Afghanistan,1991,Ranching,3695
Mckinney PLC,Guadeloupe,2001,Hospital / Health Care,7846
"Hodges, Good and Kirby",Haiti,2012,Computer Hardware,5703
Kelley-Cantu,Zimbabwe,2018,Library,5526
Lozano-Brooks,Moldova,2016,Gambling / Casinos,5730
Hicks PLC,Saint Lucia,1979,Security / Investigations,880
Morse PLC,Timor-Leste,2017,Supermarkets,9044
Rush PLC,Saint Barthelemy,2009,Government Relations,1141
"Barr, James and Gilbert",Cyprus,1989,Paper / Forest Products,8147
"Miranda, Bell and Sanders",Liberia,1995,Fine Art,895
"Coffey, Pope and Sims",Cuba,2013,Pharmaceuticals,6139
Montoya Group,Micronesia,1970,Medical Equipment,6865
"Dominguez, Branch and Mcgee",New Caledonia,2000,Railroad Manufacture,9858
Fuentes Ltd,Bhutan,2019,Industrial Automation,643
"Hansen, Chan and Molina",Benin,1994,Translation / Localization,8534
Willis-Skinner,Belize,2014,Religious Institutions,2540
Ballard and Sons,Nicaragua,1988,Apparel / Fashion,8756
Esparza LLC,Cook Islands,1994,Telecommunications,2776
Carson-Salas,Iceland,2021,Furniture,2253
Mckee-Bonilla,Bolivia,2013,Leisure / Travel,157
Espinoza LLC,Armenia,1979,Law Practice / Law Firms,7668
Olson-Curtis,Slovenia,1998,Individual / Family Services,2529
Landry Group,Burkina Faso,2019,Chemicals,2273
Logan-Chen,Burkina Faso,1996,Industrial Automation,7532
Gordon-Marshall,China,2019,Accounting,5282
Pollard and Sons,Gambia,1979,Insurance,3098
Bryan PLC,Gambia,1986,Government Administration,8423
Mckay and Sons,Venezuela,1987,Government Administration,4906
"Dickerson, Dennis and Decker",San Marino,1990,Oil / Energy / Solar / Greentech,1306
"Caldwell, Shaffer and Woods",British Virgin Islands,1974,Health / Fitness,959
"Thomas, Hudson and Reyes",Montenegro,1984,Museums / Institutions,5311
Wheeler and Sons,South Africa,2011,Health / Fitness,3958
Sherman-Sutton,Kiribati,1972,Electrical / Electronic Manufacturing,3488
Avila-Garza,Austria,1987,Computer Networking,4204
"Blackwell, Kidd and Shields",Bolivia,1971,Higher Education / Acadamia,219
"Blanchard, Forbes and Mendez",Brunei Darussalam,1994,Import / Export,5533
"Khan, Trevino and Armstrong",Uzbekistan,1985,Legal Services,1559
Sanford LLC,American Samoa,1980,Computer Hardware,3512
Norris Ltd,Rwanda,2006,Glass / Ceramics / Concrete,3416
Griffin and Sons,Australia,2000,Other Industry,7640
"Lewis, Frank and Pittman",Central African Republic,1985,Legislative Office,6628
Oconnor Ltd,Norway,2019,Outsourcing / Offshoring,9774
Hanna-Richardson,Nicaragua,1975,Sporting Goods,8738
Mcclain-Wilcox,Cameroon,1981,Pharmaceuticals,1740
Cunningham and Sons,Turks and Caicos Islands,1991,Import / Export,2190
Pearson-Fletcher,Bolivia,1987,Consumer Services,7374
"Potter, Murillo and Garza",Algeria,1977,Music,1552
Duffy and Sons,Burkina Faso,2011,Insurance,5250
Harvey-Horton,Austria,2007,Pharmaceuticals,3787
Finley-Lee,Mexico,1985,Utilities,6652
Morse and Sons,Serbia,1975,Gambling / Casinos,1580
Johns-Pham,Tunisia,2009,Oil / Energy / Solar / Greentech,4644
"Tucker, Rocha and Bonilla",Anguilla,2016,Library,8125
"Mullins, Castaneda and Bernard",Argentina,1998,Research Industry,8861
Alexander PLC,Barbados,1999,Financial Services,3866
"Bass, Mcintosh and Harrison",Jordan,1983,Insurance,2712
"Tanner, Lambert and Strickland",Botswana,1985,Recreational Facilities / Services,5597
Nixon LLC,Tanzania,2019,Writing / Editing,7940
"Vega, Miller and Calderon",Cambodia,2012,Professional Training,8250
Howe and Sons,Cocos (Keeling) Islands,2007,Logistics / Procurement,1424
Hood Ltd,Cote d'Ivoire,1972,Machinery,640
Curtis LLC,Finland,1975,Philanthropy,36
Bullock Group,Turkmenistan,1998,Wine / Spirits,6547
Mason Inc,United States of America,2015,Law Enforcement,9723
Houston and Sons,Kenya,1981,Civic / Social Organization,5355
Olson-Solomon,Cocos (Keeling) Islands,2013,Investment Banking / Venture,3825
"Maddox, Owen and Shepherd",Guinea,2019,Animation,4467
